archivo_pdf,norma,categoria,estado,preguntas,paginas,caracteres,nota
BSOL_ISO_1996-1.pdf,ISO 1996-1,cat01,descartado,0,53,144697,"Draft for Public Comment (DPC 14/30275203, 2013); se usa la UNE-ISO 1996-1:2005 publicada"
UNE ISO 1996-1.pdf,ISO 1996-1,cat01,fuente,6,32,87646,UNE-ISO 1996-1:2005 = ISO 1996-1:2003
BSOL_ISO_1996_2.pdf,ISO 1996-2,cat01,descartado,0,14,50028,"BS 7445-2:1991 = ISO 1996-2:1987, edicion anterior"
UNE ISO 1996 - 2 .pdf,ISO 1996-2,cat01,fuente,6,46,126927,UNE-EN ISO 1996-2:2009 = ISO 1996-2:2007
BSOL_ISO_1996_3.pdf,ISO 1996-3,cat01,fuente,3,10,28345,"BS 7445-3:1991 = ISO 1996-3:1987, unica version disponible"
ISO 9613-1.pdf,ISO 9613-1,cat02,fuente,4,30,315682,ISO 9613-1:1993
ISO 9613-2.pdf,ISO 9613-2,cat02,fuente,6,24,91520,ISO 9613-2:1996
"ISO_3744_2010_,_Acoustics_,_Determination.pdf",ISO 3744,cat03,fuente,5,86,309716,"ISO 3744:2010, tercera edicion"
ISO 3744.pdf.pdf,ISO 3744,cat03,descartado,0,36,132704,"ISO 3744:1994, segunda edicion, superada por la de 2010"
ISO 3745.pdf,ISO 3745,cat03,fuente,3,74,637095,BS EN ISO 3745:2012
BSOL_ISO_3746_Sound_Power.pdf,ISO 3746,cat03,fuente,5,60,142976,"BS EN ISO 3746:2010, version inglesa"
UNE-EN ISO 3746.pdf,ISO 3746,cat03,descartado,0,56,155402,"UNE-EN ISO 3746:2011, misma edicion ISO 3746:2010 en espanol"
BS ISO 8297-1994.pdf,ISO 8297,cat03,fuente,2,18,52997,BS ISO 8297:1994
BSOL_4142_Industrial_Noise.pdf,BS 4142,cat04,fuente,5,20,82727,BS 4142:1997
UNE-EN ISO 10140-1.pdf,ISO 10140-1,cat05,fuente,2,66,157568,UNE-EN ISO 10140-1:2016
UNE-EN ISO 10140-1 A1.pdf,ISO 10140-1,cat05,descartado,0,14,27341,"Modificacion A1 de la edicion 2011, ya incorporada"
UNE-EN ISO 10140-2.pdf,ISO 10140-2,cat05,fuente,2,22,67188,UNE-EN ISO 10140-2:2011
UNE-EN ISO 10140-3.pdf,ISO 10140-3,cat05,fuente,2,22,58571,UNE-EN ISO 10140-3:2011
UNE-EN ISO 10140-3A1.pdf,ISO 10140-3,cat05,descartado,0,8,17350,Modificacion A1 de ISO 10140-3
UNE-EN ISO 10140-4.pdf,ISO 10140-4,cat05,fuente,1,22,57837,UNE-EN ISO 10140-4:2011
UNE-EN ISO 10140-5.pdf,ISO 10140-5,cat05,fuente,2,46,117960,UNE-EN ISO 10140-5:2011
UNE-EN ISO 140-18.pdf,ISO 140-18,cat05,fuente,1,26,65701,UNE-EN ISO 140-18:2007
UNE-EN ISO 16283-1.pdf,ISO 16283-1,cat05,fuente,3,52,128599,UNE-EN ISO 16283-1:2015
UNE-EN ISO 16283-2.pdf,ISO 16283-2,cat05,fuente,2,52,140318,UNE-EN ISO 16283-2:2016
UNE-EN ISO 16283-3.pdf,ISO 16283-3,cat05,fuente,2,46,139879,UNE-EN ISO 16283-3:2016
UNE-EN ISO 717-1.pdf,ISO 717-1,cat05,fuente,2,26,59020,UNE-EN ISO 717-1:2013
UNE-EN ISO 717-2.pdf,ISO 717-2,cat05,fuente,2,24,64849,UNE-EN ISO 717-2:2013
UNE-EN_ISO_10534_1_2002.pdf,ISO 10534-1,cat05,fuente,1,36,94098,UNE-EN ISO 10534-1:2002
UNE_EN_ISO_10534_2_2002.pdf,ISO 10534-2,cat05,fuente,1,36,93455,UNE-EN ISO 10534-2:2002
UNE_EN_ISO_354_2004.pdf,ISO 354,cat05,fuente,1,28,75527,UNE-EN ISO 354:2004
UNE-EN ISO 16032.pdf,ISO 16032,cat05,fuente,1,24,61307,UNE-EN ISO 16032:2005
UNE-EN ISO 3382-1.pdf,ISO 3382-1,cat06,fuente,5,32,102916,UNE-EN ISO 3382-1:2010
UNE-EN ISO 3382-2.pdf,ISO 3382-2,cat06,fuente,3,24,65049,UNE-EN ISO 3382-2:2008
UNE-EN ISO 3382-2 (V2).pdf,ISO 3382-2,cat06,descartado,0,6,5061,"Erratum V2 (Cor 1:2009), 6 paginas"
UNE-EN ISO 3382-3.pdf,ISO 3382-3,cat06,fuente,2,24,58602,UNE-EN ISO 3382-3:2012
UNE-EN ISO 9612.pdf,ISO 9612,cat07,fuente,4,52,164927,UNE-EN ISO 9612:2009
UNE-EN ISO 9612-2009 ERRATUM.pdf,ISO 9612,cat07,descartado,0,2,2926,Erratum de 2 paginas
UNE-EN ISO 9921.pdf,ISO 9921,cat07,fuente,4,36,88545,UNE-EN ISO 9921:2004
UNE-EN ISO 4869-3.pdf,ISO 4869-3,cat07,fuente,2,20,43782,UNE-EN ISO 4869-3:2008
BS ISO 13474_2009.pdf,ISO 13474,cat08,fuente,4,52,146556,BS ISO 13474:2009
cnossos-eu jrc reference report_final_on line version_10 august 2012.pdf,CNOSSOS-EU,cat08,fuente,6,180,419576,"JRC Reference Report EUR 25379 EN, 2012"
